sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500101016,羅斯福路三段245號前,大安區,20:00,8.0,1.3333333333333333,6.666666666666667
500101018,溫州公園,大安區,20:00,5.0,2.0,3.0
500101019,和平臥龍街口,大安區,20:00,24.0,17.0,7.0
500101021,銘傳國小側門,大安區,20:00,7.0,2.333333333333333,4.666666666666667
500101022,捷運公館站(2號出口),大安區,20:00,99.0,39.66666666666666,40.0
500101023,第二學生活動中心,大安區,20:00,25.0,8.0,17.0
500101024,臺灣科技大學正門,大安區,20:00,50.0,45.333333333333336,4.666666666666667
500101025,臺灣科技大學側門,大安區,20:00,99.0,94.33333333333331,4.333333333333333
500101026,公館公園,大安區,20:00,30.0,25.33333333333333,4.333333333333333
500101027,臺灣科技大學後門,大安區,20:00,39.0,18.33333333333333,20.666666666666668
500101028,臺大醫學院附設癌醫中心,大安區,20:00,20.0,17.0,3.0
500101029,臺大環研大樓,大安區,20:00,15.0,9.666666666666666,5.333333333333333
500101030,臺大永齡生醫工程館,大安區,20:00,34.0,24.666666666666668,9.333333333333334
500101031,臺大男七舍前,大安區,20:00,20.0,15.666666666666666,4.333333333333333
500101032,臺大男一舍前,大安區,20:00,61.0,40.333333333333336,20.0
500101033,臺大男六舍前,大安區,20:00,40.0,33.333333333333336,6.666666666666667
500101034,臺大動物醫院前,大安區,20:00,18.0,17.0,1.0
500101035,臺大土木研究大樓前,大安區,20:00,24.0,12.333333333333334,11.666666666666666
500101036,臺大萬才館前,大安區,20:00,20.0,11.666666666666666,8.0
500101037,臺大國青大樓宿舍前,大安區,20:00,20.0,12.333333333333334,7.666666666666667
500101038,臺大社科院圖書館前,大安區,20:00,27.0,22.33333333333333,4.666666666666667
500101039,臺大法人語言訓練中心前,大安區,20:00,28.0,25.666666666666668,1.6666666666666667
500101040,臺大綜合體育館停車場前,大安區,20:00,25.0,8.0,17.0
500101041,辛亥新生路口東南側,大安區,20:00,50.0,17.666666666666668,32.333333333333336
500101042,基隆長興路口東側,大安區,20:00,15.0,7.0,8.0
500101091,國北教大側門南側,大安區,20:00,34.0,29.666666666666668,4.333333333333333
500101092,和平實小東北側,大安區,20:00,25.0,17.666666666666668,7.333333333333333
500101093,大安區健康服務中心,大安區,20:00,23.0,17.333333333333332,5.666666666666667
500101094,辛亥泰順街口,大安區,20:00,20.0,12.0,8.0
500101095,芳和國中,大安區,20:00,37.0,20.33333333333333,16.666666666666668
500101097,臥龍樂業街口,大安區,20:00,41.0,14.333333333333334,26.666666666666668
500101098,臥龍公園,大安區,20:00,25.0,16.333333333333332,8.666666666666666
500101099,嘉興公園,大安區,20:00,44.0,19.666666666666668,17.666666666666668
500101100,捷運麟光站(2號出口),大安區,20:00,50.0,28.666666666666668,20.666666666666668
500101101,捷運六張犁站,大安區,20:00,64.0,46.333333333333336,17.666666666666668
500101102,喬治工商,大安區,20:00,22.0,14.333333333333334,7.333333333333333
500101103,法治公園,大安區,20:00,29.0,16.0,10.666666666666666
500101104,捷運臺電大樓站(2號出口),大安區,20:00,18.0,5.0,13.0
500101105,和平金山路口,大安區,20:00,45.0,18.666666666666668,26.33333333333333
500101107,和平龍泉街口,大安區,20:00,34.0,16.666666666666668,16.0
500101108,和平泰順街口,大安區,20:00,19.0,11.0,7.333333333333333
500101109,臺灣師範大學(圖書館),大安區,20:00,40.0,33.666666666666664,5.666666666666667
500101110,捷運古亭站(6號出口),大安區,20:00,60.0,27.0,33.0
500101113,臺北市立圖書館(總館),大安區,20:00,51.0,34.666666666666664,16.0
500101114,新生和平路口東北側,大安區,20:00,51.0,22.33333333333333,28.33333333333333
500101115,建國和平路口西北側,大安區,20:00,50.0,28.666666666666668,21.33333333333333
500101116,金華公園,大安區,20:00,44.0,12.0,32.0
500101118,金甌女中,大安區,20:00,15.0,8.0,7.0
500101119,金杭公園,大安區,20:00,20.0,8.333333333333334,11.666666666666666
500101120,愛國金山路口,大安區,20:00,43.0,34.333333333333336,8.333333333333334
500101122,敦化南路二段293巷口南側,大安區,20:00,14.0,12.333333333333334,1.6666666666666667
500101123,敦化基隆路口,大安區,20:00,38.0,27.666666666666668,10.333333333333334
500101124,安和路二段181巷口,大安區,20:00,29.0,24.666666666666668,4.333333333333333
500101125,臨江街夜市(通化街101巷口),大安區,20:00,30.0,9.333333333333334,12.333333333333334
500101126,臨江街夜市(基隆路),大安區,20:00,29.0,10.333333333333334,18.666666666666668
500101127,台北科技大學億光大樓,大安區,20:00,45.0,36.0,9.0
500101128,新生南路一段119巷口,大安區,20:00,33.0,16.0,17.0
500101129,幸安國小(仁愛路),大安區,20:00,28.0,17.666666666666668,10.0
500101130,民榮公園,大安區,20:00,15.0,4.666666666666667,10.333333333333334
500101131,復興南路1段340巷口,大安區,20:00,50.0,43.66666666666666,6.333333333333333
500101132,建國濟南路口,大安區,20:00,54.0,41.0,12.666666666666666
500101133,捷運忠孝復興站(2號出口),大安區,20:00,43.0,34.0,9.0
500101134,捷運大安站(4號出口),大安區,20:00,13.0,11.333333333333334,1.6666666666666667
500101135,捷運大安站(2號出口),大安區,20:00,26.0,20.666666666666668,5.333333333333333
500101136,信義大安路口(信維大樓),大安區,20:00,18.0,9.0,8.333333333333334
500101137,龍門廣場,大安區,20:00,70.0,45.333333333333336,23.33333333333333
500101138,仁愛安和路口,大安區,20:00,33.0,19.33333333333333,13.666666666666666
500101139,信義敦化路口,大安區,20:00,52.0,25.0,27.0
500101140,仁愛國中,大安區,20:00,25.0,12.333333333333334,12.666666666666666
500101141,捷運信義安和站(2號出口),大安區,20:00,24.0,17.666666666666668,6.0
500101142,八德市場,大安區,20:00,30.0,24.666666666666668,5.0
500101143,昌隆公園,大安區,20:00,16.0,6.666666666666667,9.333333333333334
500101144,捷運大安森林公園站(2號出口),大安區,20:00,69.0,15.0,46.66666666666666
500101145,信義延吉街口,大安區,20:00,15.0,5.0,10.0
500101146,光信公園(光復南路456巷),大安區,20:00,25.0,14.333333333333334,9.333333333333334
500101147,僑安地下停車場(2號出口)東南側,大安區,20:00,20.0,13.0,6.666666666666667
500101148,建國南路一段279巷口,大安區,20:00,32.0,26.0,6.0
500101149,捷運忠孝新生站(6號出口),大安區,20:00,15.0,11.0,4.0
500101150,捷運忠孝新生站(4號出口),大安區,20:00,46.0,35.0,11.0
500101151,大安高工,大安區,20:00,23.0,17.0,6.0
500101152,捷運忠孝新生站(3號出口),大安區,20:00,43.0,28.33333333333333,14.333333333333334
500101153,瑠公公園,大安區,20:00,20.0,8.666666666666666,11.333333333333334
500101154,敦化市民路口,大安區,20:00,23.0,7.333333333333333,15.666666666666666
500101155,捷運大安森林公園站(5號出口),大安區,20:00,15.0,8.666666666666666,6.333333333333333
500101156,信義建國路口,大安區,20:00,52.0,34.666666666666664,16.333333333333332
500101157,東豐公園,大安區,20:00,19.0,7.666666666666667,11.333333333333334
500101158,德安公園(四維路66巷),大安區,20:00,22.0,12.666666666666666,9.333333333333334
500101159,捷運忠孝復興站(5號出口),大安區,20:00,30.0,20.666666666666668,9.333333333333334
500101160,捷運忠孝敦化站(2號出口),大安區,20:00,17.0,6.666666666666667,9.666666666666666
500101161,捷運忠孝敦化站(7號出口),大安區,20:00,18.0,6.333333333333333,11.666666666666666
500101162,忠孝東路四段223巷口(市民大道側),大安區,20:00,25.0,6.666666666666667,18.0
500101163,瑞安街208巷,大安區,20:00,15.0,9.333333333333334,5.333333333333333
500101165,樂利路21巷口,大安區,20:00,17.0,10.0,3.6666666666666665
500101166,捷運科技大樓站(台北教育大學),大安區,20:00,54.0,30.33333333333333,23.666666666666668
500101167,捷運國父紀念館站(2號出口),大安區,20:00,45.0,40.0,5.0
500101168,仁愛醫院,大安區,20:00,36.0,26.33333333333333,9.666666666666666
500101169,捷運信義安和站(4號出口),大安區,20:00,49.0,18.666666666666668,30.33333333333333
500101170,成功國宅,大安區,20:00,36.0,14.333333333333334,21.33333333333333
500101171,仁愛延吉街口,大安區,20:00,33.0,17.0,16.0
500101172,捷運信義安和站(1號出口),大安區,20:00,33.0,15.0,18.0
500101173,敦化南路二段103巷口,大安區,20:00,24.0,10.666666666666666,13.333333333333334
500101174,復興南路二段128巷口,大安區,20:00,41.0,11.333333333333334,29.33333333333333
500101175,和平東建國南路口,大安區,20:00,17.0,10.666666666666666,5.666666666666667
500101176,芳蘭山莊,大安區,20:00,16.0,8.333333333333334,6.666666666666667
500101177,復興南路一段126巷口,大安區,20:00,15.0,5.666666666666667,9.333333333333334
500101179,捷運東門站(5號出口),大安區,20:00,28.0,19.0,9.0
500101180,仁愛路四段48巷口,大安區,20:00,12.0,3.6666666666666665,8.333333333333334
500101181,捷運公館站(3號出口),大安區,20:00,99.0,46.333333333333336,52.0
500101182,臺北科技大學(電機工程系),大安區,20:00,34.0,31.0,3.0
500101184,新生南路三段94巷口,大安區,20:00,15.0,9.0,5.666666666666667
500101185,辛亥新生路口西北側,大安區,20:00,24.0,13.333333333333334,10.666666666666666
500101186,捷運大安站(6號出口),大安區,20:00,29.0,18.0,11.0
500101187,臥龍街195巷口,大安區,20:00,14.0,6.0,7.666666666666667
500101188,辛亥路三段157巷口,大安區,20:00,27.0,19.666666666666668,7.333333333333333
500101189,臥龍基隆路口,大安區,20:00,28.0,22.0,6.0
500101190,敦親公園,大安區,20:00,26.0,14.666666666666666,11.333333333333334
500101191,大安運動中心,大安區,20:00,33.0,20.666666666666668,12.333333333333334
500101192,和平敦化路口,大安區,20:00,36.0,24.0,12.0
500101193,基隆長興路口,大安區,20:00,51.0,47.66666666666666,3.333333333333333
500101194,仁愛路四段122巷口,大安區,20:00,25.0,19.0,6.0
500101196,市民敦化路口,大安區,20:00,32.0,23.666666666666668,8.333333333333334
500101197,忠孝東路四段49巷口,大安區,20:00,15.0,7.0,8.0
500101198,市民復興路口(東南側),大安區,20:00,16.0,7.666666666666667,8.333333333333334
500101199,和平新生路口西南側,大安區,20:00,17.0,11.666666666666666,5.333333333333333
500101200,全安公園,大安區,20:00,16.0,9.666666666666666,5.333333333333333
500101201,信義路三段134巷口,大安區,20:00,19.0,7.666666666666667,11.333333333333334
500101202,仁愛敦南圓環(東南側),大安區,20:00,16.0,10.666666666666666,5.333333333333333
500101203,臺北遠企購物中心,大安區,20:00,33.0,24.0,9.0
500101204,外交部外交及國際事務學院,大安區,20:00,26.0,18.0,7.666666666666667
500101205,四維路170巷口,大安區,20:00,22.0,14.0,8.0
500101206,捷運大安站(3號出口),大安區,20:00,46.0,30.666666666666668,15.333333333333334
500101207,捷運臺電大樓站(2號出口)_1,大安區,20:00,38.0,28.0,10.0
500101208,信義路四段199巷,大安區,20:00,15.0,5.0,10.0
500101209,臺大資訊大樓,大安區,20:00,40.0,27.666666666666668,12.333333333333334
500101210,敦化南路二段81巷,大安區,20:00,40.0,21.666666666666668,18.33333333333333
500101211,原臺北刑務所官舍,大安區,20:00,23.0,14.666666666666666,8.333333333333334
500101212,捷運國父紀念館站(1號出口),大安區,20:00,24.0,15.333333333333334,8.333333333333334
500101213,懷生國中,大安區,20:00,24.0,18.0,6.0
500101214,仁愛敦南圓環(西北側),大安區,20:00,20.0,15.333333333333334,4.0
500101215,立人國小,大安區,20:00,17.0,6.333333333333333,10.666666666666666
500101216,和平東路二段18巷口,大安區,20:00,24.0,9.666666666666666,14.333333333333334
500101217,捷運大安站(5號出口),大安區,20:00,26.0,10.666666666666666,15.333333333333334
500101218,臨江公園,大安區,20:00,23.0,10.666666666666666,10.666666666666666
500101219,羅斯福路四段113巷19弄口,大安區,20:00,14.0,11.0,2.6666666666666665
500101221,忠孝東路四段248巷口,大安區,20:00,25.0,12.666666666666666,12.0
500101222,仁愛延吉路口(西北側),大安區,20:00,24.0,13.333333333333334,10.666666666666666
500101223,樂利路101巷口,大安區,20:00,13.0,5.333333333333333,5.666666666666667
500101224,羅斯福浦城街口,大安區,20:00,25.0,6.666666666666667,14.0
500101225,敦化南路一段295巷口,大安區,20:00,18.0,9.666666666666666,8.333333333333334
500101226,通安區民活動中心,大安區,20:00,28.0,13.666666666666666,9.333333333333334
500101227,復興忠孝東路口(東南側),大安區,20:00,28.0,16.0,12.0
500101228,仁愛大安路口(東北側),大安區,20:00,21.0,16.333333333333332,4.666666666666667
500101229,臺灣師範大學(浦城街),大安區,20:00,20.0,6.0,12.666666666666666
500101230,安和路二段69巷口,大安區,20:00,20.0,7.333333333333333,12.666666666666666
500101231,大安國小,大安區,20:00,25.0,9.0,15.666666666666666
500101232,捷運古亭站(3號出口),大安區,20:00,15.0,6.0,9.0
500101233,捷運忠孝復興站(3號出口),大安區,20:00,37.0,27.0,10.0
500101234,和平東路二段90巷,大安區,20:00,20.0,13.333333333333334,6.333333333333333
500101235,光復南路420巷口,大安區,20:00,16.0,11.333333333333334,4.666666666666667
500101236,富陽臥龍街口,大安區,20:00,18.0,12.333333333333334,2.6666666666666665
500101237,仁愛復興路口,大安區,20:00,25.0,23.0,2.0
500101238,仁愛敦南圓環(東側),大安區,20:00,26.0,18.33333333333333,7.666666666666667
500101239,古風公園,大安區,20:00,15.0,6.0,5.0
500101240,和平東路二段76巷,大安區,20:00,40.0,17.333333333333332,22.666666666666668
500101241,敦化信義路口(東南側),大安區,20:00,20.0,15.0,5.0
500101242,和平東路三段308巷口,大安區,20:00,14.0,3.6666666666666665,8.333333333333334
500101243,忠孝建國路口(東南側),大安區,20:00,21.0,17.666666666666668,3.333333333333333
500101244,浦城街26巷,大安區,20:00,17.0,7.0,7.0
500101245,青峰活動中心,大安區,20:00,25.0,15.0,10.0
500101246,忠孝東路三段216巷口,大安區,20:00,28.0,19.33333333333333,8.666666666666666
500101247,捷運忠孝復興站(4號出口),大安區,20:00,25.0,20.0,5.0
500101248,和平溫州街口,大安區,20:00,23.0,16.333333333333332,6.666666666666667
500101250,國立臺北教育大學創意館,大安區,20:00,32.0,26.0,5.333333333333333
500101251,捷運忠孝復興站(1號出口),大安區,20:00,27.0,17.333333333333332,9.666666666666666
500101252,政大公企中心,大安區,20:00,13.0,4.666666666666667,8.333333333333334
500101253,大安路二段90巷口,大安區,20:00,19.0,11.333333333333334,7.666666666666667
500101254,師大附中運動中心,大安區,20:00,33.0,23.33333333333333,9.333333333333334
500101256,敦化基隆路口(東北側),大安區,20:00,19.0,13.0,6.0
500101257,龍圖公園,大安區,20:00,20.0,14.0,5.666666666666667
500101258,新生南路二段54巷口,大安區,20:00,26.0,16.0,10.0
500101259,臺靜農人文會館,大安區,20:00,12.0,6.0,5.666666666666667
500101001,捷運科技大樓站,大安區,20:30,28.0,18.5,8.75
500101002,復興南路二段273號前,大安區,20:30,21.0,17.25,3.5
500101003,國北教大實小東側門,大安區,20:30,28.0,22.5,5.5
500101004,和平公園東側,大安區,20:30,11.0,7.0,4.0
500101005,辛亥復興路口西北側,大安區,20:30,16.0,13.5,2.5
